	subjectID	study_condition	dose	species	breed	period	studyID	forage	concentrate
Beef1_con_108p30h_Romero-Perez_2014	Beef1_con_108p30h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_108p312h_Romero-Perez_2014	Beef1_con_108p312h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_108p36h_Romero-Perez_2014	Beef1_con_108p36h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_153p30h_Romero-Perez_2014	Beef1_con_153p30h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_153p312h_Romero-Perez_2014	Beef1_con_153p312h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_153p36h_Romero-Perez_2014	Beef1_con_153p36h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_315p40h_Romero-Perez_2014	Beef1_con_315p40h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_315p412h_Romero-Perez_2014	Beef1_con_315p412h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_315p46h_Romero-Perez_2014	Beef1_con_315p46h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_31p10h_Romero-Perez_2014	Beef1_con_31p10h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_31p112h_Romero-Perez_2014	Beef1_con_31p112h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_31p16h_Romero-Perez_2014	Beef1_con_31p16h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_346p20h_Romero-Perez_2014	Beef1_con_346p20h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_346p212h_Romero-Perez_2014	Beef1_con_346p212h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_346p26h_Romero-Perez_2014	Beef1_con_346p26h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_55p40h_Romero-Perez_2014	Beef1_con_55p40h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_55p412h_Romero-Perez_2014	Beef1_con_55p412h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_55p46h_Romero-Perez_2014	Beef1_con_55p46h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_70p212h_Romero-Perez_2014	Beef1_con_70p212h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_70p26h_Romero-Perez_2014	Beef1_con_70p26h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_92p10h_Romero-Perez_2014	Beef1_con_92p10h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_92p112h_Romero-Perez_2014	Beef1_con_92p112h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_con_92p16h_Romero-Perez_2014	Beef1_con_92p16h	Control	0	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_high_108p40h_Romero-Perez_2014	Beef1_high_108p40h	3-NOP	345	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_high_108p412h_Romero-Perez_2014	Beef1_high_108p412h	3-NOP	345	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_high_108p46h_Romero-Perez_2014	Beef1_high_108p46h	3-NOP	345	heifer	Angus	28	Romero-Perez_2014	60	35
Beef1_high_153p10h_Romero-Perez_2014	Beef1_high_153p10h	3-NOP	345	heifer	Angus	28	Romero-Perez_2014	60	35
