	subjectID	animalID	study_condition	species	breed	period	dose	studyID	forage	concentrate
Beef1_con_1_346p2_Romero-Perez_2014	Beef1_con_1_346p2	1_346p2	con	heifer	Angus	28	0	Romero-Perez_2014	60	35
Beef1_con_2_92p1_Romero-Perez_2014	Beef1_con_2_92p1	2_92p1	con	heifer	Angus	28	0	Romero-Perez_2014	60	35
Beef1_con_3_108p3_Romero-Perez_2014	Beef1_con_3_108p3	3_108p3	con	heifer	Angus	28	0	Romero-Perez_2014	60	35
Beef1_con_4_315p4_Romero-Perez_2014	Beef1_con_4_315p4	4_315p4	con	heifer	Angus	28	0	Romero-Perez_2014	60	35
Beef1_high_5_92p2_Romero-Perez_2014	Beef1_high_5_92p2	5_92p2	treatment	heifer	Angus	28	345	Romero-Perez_2014	60	35
Beef1_high_6_315p3_Romero-Perez_2014	Beef1_high_6_315p3	6_315p3	treatment	heifer	Angus	28	345	Romero-Perez_2014	60	35
Beef1_high_7_70p1_Romero-Perez_2014	Beef1_high_7_70p1	7_70p1	treatment	heifer	Angus	28	345	Romero-Perez_2014	60	35
Beef1_high_8_153p1_Romero-Perez_2014	Beef1_high_8_153p1	8_153p1	treatment	heifer	Angus	28	345	Romero-Perez_2014	60	35
Beef1_low_10_92p3_Romero-Perez_2014	Beef1_low_10_92p3	10_92p3	treatment	heifer	Angus	28	53	Romero-Perez_2014	60	35
Beef1_low_11_31p2_Romero-Perez_2014	Beef1_low_11_31p2	11_31p2	treatment	heifer	Angus	28	53	Romero-Perez_2014	60	35
Beef1_low_12_153p4_Romero-Perez_2014	Beef1_low_12_153p4	12_153p4	treatment	heifer	Angus	28	53	Romero-Perez_2014	60	35
Beef1_low_9_346p1_Romero-Perez_2014	Beef1_low_9_346p1	9_346p1	treatment	heifer	Angus	28	53	Romero-Perez_2014	60	35
Beef1_med_13_315p1_Romero-Perez_2014	Beef1_med_13_315p1	13_315p1	treatment	heifer	Angus	28	161	Romero-Perez_2014	60	35
